unix,datetime,speed,location
1741392000,2025-03-08 00:00:00,24.1,Sunshine Coast Airport
1741392600,2025-03-08 00:10:00,25.9,Sunshine Coast Airport
1741393200,2025-03-08 00:20:00,24.1,Sunshine Coast Airport
1741393800,2025-03-08 00:30:00,24.1,Sunshine Coast Airport
1741394400,2025-03-08 00:40:00,25.9,Sunshine Coast Airport
1741395000,2025-03-08 00:50:00,25.9,Sunshine Coast Airport
1741395600,2025-03-08 01:00:00,25.9,Sunshine Coast Airport
1741396200,2025-03-08 01:10:00,25.9,Sunshine Coast Airport
1741396800,2025-03-08 01:20:00,27.8,Sunshine Coast Airport
1741397400,2025-03-08 01:30:00,27.8,Sunshine Coast Airport
1741398000,2025-03-08 01:40:00,24.1,Sunshine Coast Airport
1741398600,2025-03-08 01:50:00,27.8,Sunshine Coast Airport
1741399200,2025-03-08 02:00:00,29.6,Sunshine Coast Airport
1741399800,2025-03-08 02:10:00,29.6,Sunshine Coast Airport
1741400400,2025-03-08 02:20:00,29.6,Sunshine Coast Airport
1741401000,2025-03-08 02:30:00,31.5,Sunshine Coast Airport
1741401600,2025-03-08 02:40:00,35.2,Sunshine Coast Airport
1741402200,2025-03-08 02:50:00,31.5,Sunshine Coast Airport
1741402800,2025-03-08 03:00:00,31.5,Sunshine Coast Airport
1741403400,2025-03-08 03:10:00,31.5,Sunshine Coast Airport
1741404000,2025-03-08 03:20:00,42.6,Sunshine Coast Airport
1741404600,2025-03-08 03:30:00,37.0,Sunshine Coast Airport
1741405200,2025-03-08 03:40:00,25.9,Sunshine Coast Airport
1741405800,2025-03-08 03:50:00,29.6,Sunshine Coast Airport
1741406400,2025-03-08 04:00:00,31.5,Sunshine Coast Airport
1741407000,2025-03-08 04:10:00,27.8,Sunshine Coast Airport
1741407600,2025-03-08 04:20:00,35.2,Sunshine Coast Airport
1741408200,2025-03-08 04:30:00,31.5,Sunshine Coast Airport
1741408800,2025-03-08 04:40:00,27.8,Sunshine Coast Airport
1741409400,2025-03-08 04:50:00,27.8,Sunshine Coast Airport
1741410000,2025-03-08 05:00:00,25.9,Sunshine Coast Airport
1741410600,2025-03-08 05:10:00,29.6,Sunshine Coast Airport
1741411200,2025-03-08 05:20:00,27.8,Sunshine Coast Airport
1741411800,2025-03-08 05:30:00,29.6,Sunshine Coast Airport
1741412400,2025-03-08 05:40:00,31.5,Sunshine Coast Airport
