Reporting unit,Reporting unit type,State,Peer group,Year,Triage category,Number of presentations,,Percentage of patients seen on time
National,National,NAT,,2011–12,Emergency,"644,112",,80%
National,National,NAT,,2012–13,Emergency,"710,966",,82%
National,National,NAT,,2013–14,Emergency,"781,363",,82%
National,National,NAT,,2014–15,Emergency,"839,117",,79%
National,National,NAT,,2015–16,Emergency,"895,191",,77%
National,National,NAT,,2016–17,Emergency,"963,042",,77%
National,National,NAT,,2017–18,Emergency,"1,035,004",,76%
National,National,NAT,,2018–19,Emergency,"1,126,609",,75%
National,National,NAT,,2019–20,Emergency,"1,148,190",,75%
National,National,NAT,,2020–21,Emergency,"1,244,959",,71%
National,National,NAT,,2021–22,Emergency,"1,319,427",,65%
National,National,NAT,,2022–23,Emergency,"1,417,163",,64%
National,National,NAT,,2023–24,Emergency,"1,482,971",,67%
National,National,NAT,,2011–12,Non-Urgent,"570,228",,89%
National,National,NAT,,2012–13,Non-Urgent,"533,469",,91%
National,National,NAT,,2013–14,Non-Urgent,"602,814",,92%
National,National,NAT,,2014–15,Non-Urgent,"586,020",,92%
National,National,NAT,,2015–16,Non-Urgent,"558,568",,93%
National,National,NAT,,2016–17,Non-Urgent,"565,144",,92%
National,National,NAT,,2017–18,Non-Urgent,"552,918",,92%
National,National,NAT,,2018–19,Non-Urgent,"547,201",,91%
National,National,NAT,,2019–20,Non-Urgent,"595,901",,93%
National,National,NAT,,2020–21,Non-Urgent,"743,714",,93%
National,National,NAT,,2021–22,Non-Urgent,"676,414",,92%
National,National,NAT,,2022–23,Non-Urgent,"479,868",,88%
National,National,NAT,,2023–24,Non-Urgent,"460,834",,89%
National,National,NAT,,2011–12,Resuscitation,"42,371",,100%
National,National,NAT,,2012–13,Resuscitation,"45,124",,100%
National,National,NAT,,2013–14,Resuscitation,"46,446",,100%
National,National,NAT,,2014–15,Resuscitation,"48,791",,100%
National,National,NAT,,2015–16,Resuscitation,"52,478",,100%
National,National,NAT,,2016–17,Resuscitation,"56,284",,100%
National,National,NAT,,2017–18,Resuscitation,"60,267",,100%
National,National,NAT,,2018–19,Resuscitation,"64,077",,100%
National,National,NAT,,2019–20,Resuscitation,"66,125",,100%
National,National,NAT,,2020–21,Resuscitation,"68,478",,100%
National,National,NAT,,2021–22,Resuscitation,"67,310",,100%
National,National,NAT,,2022–23,Resuscitation,"76,820",,100%
National,National,NAT,,2023–24,Resuscitation,"81,838",,100%
National,National,NAT,,2011–12,Semi-Urgent,"2,683,679",,70%
National,National,NAT,,2012–13,Semi-Urgent,"2,747,466",,72%
National,National,NAT,,2013–14,Semi-Urgent,"2,886,480",,75%
National,National,NAT,,2014–15,Semi-Urgent,"2,924,280",,74%
National,National,NAT,,2015–16,Semi-Urgent,"2,905,764",,74%
National,National,NAT,,2016–17,Semi-Urgent,"2,926,274",,74%
National,National,NAT,,2017–18,Semi-Urgent,"2,963,696",,73%
National,National,NAT,,2018–19,Semi-Urgent,"3,029,610",,73%
National,National,NAT,,2019–20,Semi-Urgent,"2,912,350",,76%
National,National,NAT,,2020–21,Semi-Urgent,"3,060,035",,73%
National,National,NAT,,2021–22,Semi-Urgent,"2,922,195",,70%
National,National,NAT,,2022–23,Semi-Urgent,"2,849,161",,68%
National,National,NAT,,2023–24,Semi-Urgent,"2,771,809",,71%
National,National,NAT,,2011–12,Urgent,"2,135,937",,66%
National,National,NAT,,2012–13,Urgent,"2,250,212",,68%
National,National,NAT,,2013–14,Urgent,"2,403,918",,70%
National,National,NAT,,2014–15,Urgent,"2,516,811",,68%
National,National,NAT,,2015–16,Urgent,"2,621,809",,67%
National,National,NAT,,2016–17,Urgent,"2,771,035",,66%
National,National,NAT,,2017–18,Urgent,"2,911,234",,64%
National,National,NAT,,2018–19,Urgent,"3,073,793",,63%
