HEP Code,HEP Name,Year,State,Cohort,Program,Amount
3006,Australian Catholic University,2025,OTHER,non-aligned,RSP,"2,217,956 "
3006,Australian Catholic University,2025,OTHER,non-aligned,RTP,"3,054,420 "
2252,Avondale University ,2025,NSW,non-aligned,RSP,"77,651 "
2252,Avondale University ,2025,NSW,non-aligned,RTP,"164,108 "
2246,Batchelor Institute of Indigenous Tertiary Education,2025,NT,non-aligned,RSP,"524,025 "
2246,Batchelor Institute of Indigenous Tertiary Education,2025,NT,non-aligned,RTP,"323,773 "
3003,Bond University ,2025,QLD,non-aligned,RSP,"879,125 "
3003,Bond University ,2025,QLD,non-aligned,RTP,"1,839,820 "
2200,Central Queensland University,2025,QLD,RUN,RSP,"4,550,473 "
2200,Central Queensland University,2025,QLD,RUN,RTP,"4,773,010 "
3001,Charles Darwin University,2025,NT,non-aligned,RSP,"12,855,701 "
3001,Charles Darwin University,2025,NT,non-aligned,RTP,"10,392,998 "
3005,Charles Sturt University,2025,NSW,RUN,RSP,"4,286,701 "
3005,Charles Sturt University,2025,NSW,RUN,RTP,"5,538,247 "
2236,Curtin University,2025,WA,ATN,RSP,"24,717,773 "
2236,Curtin University,2025,WA,ATN,RTP,"31,000,387 "
3030,Deakin University,2025,VIC,ATN,RSP,"26,791,377 "
3030,Deakin University,2025,VIC,ATN,RTP,"32,814,481 "
2235,Edith Cowan University,2025,WA,non-aligned,RSP,"4,332,395 "
2235,Edith Cowan University,2025,WA,non-aligned,RTP,"8,413,791 "
2154,Federation University Australia,2025,VIC,RUN,RSP,"1,312,796 "
2154,Federation University Australia,2025,VIC,RUN,RTP,"2,795,801 "
3029,Flinders University,2025,SA,IRU,RSP,"22,529,125 "
3029,Flinders University,2025,SA,IRU,RTP,"21,291,217 "
3032,Griffith University,2025,QLD,IRU,RSP,"19,490,224 "
3032,Griffith University,2025,QLD,IRU,RTP,"29,973,475 "
1019,James Cook University,2025,QLD,IRU,RSP,"10,201,709 "
1019,James Cook University,2025,QLD,IRU,RTP,"13,332,946 "
3020,La Trobe University,2025,VIC,IRU,RSP,"16,667,877 "
3020,La Trobe University,2025,VIC,IRU,RTP,"22,110,470 "
3025,Macquarie University,2025,NSW,non-aligned,RSP,"20,628,511 "
3025,Macquarie University,2025,NSW,non-aligned,RTP,"33,475,332 "
3035,Monash University,2025,VIC,Go8,RSP,"126,109,023 "
