Wave,Category_Name,Proportion,Conf_Interval_Lower,Conf_Interval_Upper
2012,Every day or most days,21.00%,20.20%,21.70%
2016,Every day or most days,16.80%,16.10%,17.50%
2020,Every day or most days,16.40%,15.70%,17.20%
2012,Several times a week,17.40%,16.60%,18.20%
2016,Several times a week,15.10%,14.30%,15.90%
2020,Several times a week,13.30%,12.50%,14.10%
2012,About once a week,12.10%,11.50%,12.90%
2016,About once a week,12.00%,11.30%,12.70%
2020,About once a week,10.40%,9.70%,11.10%
2012,2 or 3 times a month,9.70%,9.00%,10.50%
2016,2 or 3 times a month,9.80%,9.10%,10.40%
2020,2 or 3 times a month,7.70%,7.20%,8.20%
2012,About once a month,8.30%,7.70%,9.00%
2016,About once a month,8.70%,8.10%,9.40%
2020,About once a month,9.40%,8.60%,10.20%
2012,Less than once a month,16.80%,16.10%,17.60%
2016,Less than once a month,19.20%,18.50%,20.00%
2020,Less than once a month,20.80%,19.90%,21.70%
2012,Never,14.60%,13.90%,15.30%
2016,Never,18.40%,17.60%,19.30%
2020,Never,22.10%,21.20%,23.00%
